nome_teste,entidade,resultado
in_set_pedido_status,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_CORE_E_HOTMART::columns::PEDIDO_STATUS>,Sem execução
in_set_pedido_status,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_CORE_CONSULTORIA::columns::PEDIDO_STATUS>,Sem execução
in_set_pedido_status,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_EXTERNAS_CONSULTORIA::columns::PEDIDO_STATUS>,Sem execução
in_set_pedido_status,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_HOTMART::columns::PEDIDO_STATUS>,Sem execução
in_set_pedido_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_VENDAS_V2_260128::columns::PEDIDO_STATUS>,Sem execução
in_set_pedido_status,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_CORE_E_HOTMART_TEST_TIMESTAMP::columns::PEDIDO_STATUS>,Sem execução
in_set_pedido_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_VENDAS_POR_HORA_EM_VALIDACAO::columns::PEDIDO_STATUS>,Sem execução
in_set_pedido_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_VENDAS_BKP_251212::columns::PEDIDO_STATUS>,Sem execução
in_set_pedido_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_VENDAS_NEW_GIO::columns::PEDIDO_STATUS>,Sem execução
in_set_pedido_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_DEV.VW_VENDAS_SEGMENTED::columns::PEDIDO_STATUS>,Sem execução
in_set_pedido_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_VENDAS_SEGMENTED::columns::PEDIDO_STATUS>,Sem execução
in_set_qtd_cotistas_status,<#E::table::Suno SnowFlake.SERVING_LAYER.ASSET.VW_COTISTAS_SNME_STATUS_RESEARCH::columns::QTD_COTISTAS_STATUS>,Sem execução
in_set_snapshot_status,<#E::table::Suno SnowFlake.REFINED_GLOBAL.ASSINATURAS.DT_LIFECYCLE_SUBS_UN_TRUTH::columns::SNAPSHOT_STATUS>,Success
in_set_snapshot_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.FULLBASE_CLIENTESATIVOS_DIARIA::columns::SNAPSHOT_STATUS>,Sem execução
in_set_snapshot_status,<#E::table::Suno SnowFlake.REFINED_GLOBAL.ASSINATURAS.BKP_DT_LIFECYCLE_SUBS_UN_TRUTH_20260528::columns::SNAPSHOT_STATUS>,Sem execução
in_set_snapshot_status,<#E::table::Suno SnowFlake.REFINED_GLOBAL.ASSINATURAS.DT_LIFECYCLE_SUBS_UN_TRUTH_BKP_20260319::columns::SNAPSHOT_STATUS>,Sem execução
in_set_snapshot_status,<#E::table::Suno SnowFlake.REFINED_GLOBAL.ASSINATURAS.VW_FAT_SUBS_ACTIVITY_UN_TRUTH::columns::SNAPSHOT_STATUS>,Sem execução
in_set_snapshot_status,<#E::table::Suno SnowFlake.REFINED_GLOBAL.ASSINATURAS.VW_RETAIL_MOV_DIARIA_DETALHE::columns::SNAPSHOT_STATUS>,Sem execução
