id,nome,responsavel,status_conexao,tipo_agendamento,frequencia,ultimo_status,ultima_execucao,taxa_sucesso_pct,execucoes_amostra,pulso,pulso_datas,url
8b2adbe2-7fe8-49da-a9f5-3bc24e35cbf6,Postgres - SUNO CORE PROD Daily → Snowflake - RAW_SUNO_CORE  - SUNO_CORE_PROD,Time de Dados,active,manual,Manual,success,2026-08-31T10:30:06Z,99.2,391,success|success|success|success|success|success|success|success|success|success,2026-08-22T10:30:06Z|2026-08-23T10:30:06Z|2026-08-24T10:30:06Z|2026-08-25T10:30:06Z|2026-08-26T10:30:05Z|2026-08-27T10:30:05Z|2026-08-28T10:30:06Z|2026-08-29T10:30:06Z|2026-08-30T10:30:06Z|2026-08-31T10:30:06Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/8b2adbe2-7fe8-49da-a9f5-3bc24e35cbf6/status
548cf28d-9938-43fc-bde3-9d9399f51b66,ASSETS - PG_SI_APP_READER - SNOW_RAW_STATUS_INVEST,Giovanni Vargas,active,cron,0 30 5 * * ? America/Sao_Paulo,success,2026-08-31T08:30:01Z,97.4,585,success|success|success|success|success|success|success|success|success|success,2026-08-22T08:30:01Z|2026-08-23T08:30Z|2026-08-24T08:30Z|2026-08-25T08:30:01Z|2026-08-26T08:30:01Z|2026-08-27T08:30Z|2026-08-28T08:30:01Z|2026-08-29T08:30:01Z|2026-08-30T08:30:01Z|2026-08-31T08:30:01Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/548cf28d-9938-43fc-bde3-9d9399f51b66/status
915140b0-0f5d-4db3-8090-db9b8010838e,Google Sheets - LEAD_MAGNETS_TRACKING → Snowflake - RAW_MARKETING - MARKETING,Giovanni Vargas,active,cron,0 0 8 * * ? America/Sao_Paulo,success,2026-08-31T11:00:04Z,99.8,467,success|success|success|success|success|success|success|success|success|success,2026-08-22T11:00:03Z|2026-08-23T11:00:03Z|2026-08-24T11:00:03Z|2026-08-25T11:00:04Z|2026-08-26T11:00:01Z|2026-08-27T11:00Z|2026-08-28T11:00:05Z|2026-08-29T11:00:04Z|2026-08-30T11:00:04Z|2026-08-31T11:00:04Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/915140b0-0f5d-4db3-8090-db9b8010838e/status
7e599bb1-e300-4c67-ba47-ed9564535e37,SECTORS - PG_SI_APP_READER - SNOW_RAW_STATUS_INVEST,Giovanni Vargas,active,cron,0 0 6 * * ? America/Sao_Paulo,success,2026-08-31T09:00:05Z,97.8,580,success|success|success|success|success|success|success|success|success|success,2026-08-22T09:00:04Z|2026-08-23T09:00:05Z|2026-08-24T09:00:05Z|2026-08-25T09:00:05Z|2026-08-26T09:00:05Z|2026-08-27T09:00:02Z|2026-08-28T09:00:05Z|2026-08-29T09:00:05Z|2026-08-30T09:00:05Z|2026-08-31T09:00:05Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/7e599bb1-e300-4c67-ba47-ed9564535e37/status
b1715420-95e8-44cd-806c-1adf6bb4561c,INTEGRATION - PG_SI_APP_READER - SNOW_RAW_STATUS_INVEST,Giovanni Vargas,active,cron,0 0 7 * * ? America/Sao_Paulo,success,2026-08-31T10:00:03Z,97.9,580,success|success|success|success|success|success|success|success|success|success,2026-08-22T10:00:03Z|2026-08-23T10:00:03Z|2026-08-24T10:00:03Z|2026-08-25T10:00:03Z|2026-08-26T10:00:03Z|2026-08-27T10:00:01Z|2026-08-28T10:00:04Z|2026-08-29T10:00:03Z|2026-08-30T10:00:03Z|2026-08-31T10:00:03Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/b1715420-95e8-44cd-806c-1adf6bb4561c/status
fd1e9790-10b5-418f-8d55-58ef73c640f3,Google Sheets - BASE METAS MARKETING CAMPANHAS SETEMBRO → Snowflake - RAW_MARKETING - MARKETING,Giovanni Vargas,inactive,cron,0 0 03 * * ? UTC,failed,2026-04-17T10:05:47Z,99.1,220,success|success|success|success|success|success|success|success|failed|failed,2026-04-09T03:00:01Z|2026-04-10T03:00:02Z|2026-04-11T03:00:02Z|2026-04-12T03:00:02Z|2026-04-13T03:00:02Z|2026-04-14T03:00:02Z|2026-04-15T03:00:02Z|2026-04-16T03:00:02Z|2026-04-17T03:00:02Z|2026-04-17T10:05:47Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/fd1e9790-10b5-418f-8d55-58ef73c640f3/status
5d5f9d11-13d5-4a5b-92b8-41107f6ef613,CRYPTOCOINS - PG_SI_APP_APP_READER - SNOW_RAW_STATUS_INVEST,Giovanni Vargas,active,cron,0 30 6 * * ? America/Sao_Paulo,success,2026-08-31T09:30:01Z,97.6,584,success|success|success|success|success|success|success|success|success|success,2026-08-22T09:30:01Z|2026-08-23T09:30:01Z|2026-08-24T09:30:01Z|2026-08-25T09:30:01Z|2026-08-26T09:30:01Z|2026-08-27T09:30Z|2026-08-28T09:30:01Z|2026-08-29T09:30:01Z|2026-08-30T09:30:01Z|2026-08-31T09:30:01Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/5d5f9d11-13d5-4a5b-92b8-41107f6ef613/status
5ad517f4-569c-4ffe-bcb2-a0e5e82cec46,ETF - PG_SUNO_APP_READER - SNOW_RAW_SUNO_LEGADO,Cedric Fagundes,active,cron,0 0 6 * * ? America/Sao_Paulo,success,2026-08-31T09:00:04Z,97.9,583,success|success|success|success|success|success|success|success|success|success,2026-08-22T09:00:04Z|2026-08-23T09:00:05Z|2026-08-24T09:00:05Z|2026-08-25T09:00:04Z|2026-08-26T09:00:05Z|2026-08-27T09:00:03Z|2026-08-28T09:00:06Z|2026-08-29T09:00:06Z|2026-08-30T09:00:05Z|2026-08-31T09:00:04Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/5ad517f4-569c-4ffe-bcb2-a0e5e82cec46/status
23812f93-58f6-468b-a5f4-c2a9c597b7c1,Google Ads → Snowflake - RAW_MARKETING - GOOGLE_ADS,Giovanni Vargas,active,cron,0 0 04 * * ? America/Sao_Paulo,success,2026-08-31T07:00:03Z,92.9,407,success|success|success|success|success|success|success|success|success|success,2026-08-22T07:00:03Z|2026-08-23T07:00:02Z|2026-08-24T07:00:03Z|2026-08-25T07:00:03Z|2026-08-26T07:00:03Z|2026-08-27T07:00Z|2026-08-28T07:00:04Z|2026-08-29T07:00:03Z|2026-08-30T07:00:03Z|2026-08-31T07:00:03Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/23812f93-58f6-468b-a5f4-c2a9c597b7c1/status
5b35b2b4-fb38-4d83-ae06-066495670a3c,Google Sheets - Sunocode 02/2025 → Snowflake - RAW_MARKETING - MARKETING,Giovanni Vargas,inactive,cron,0 0 3 * * ? UTC,success,2025-03-06T13:34:54Z,100.0,29,success|success|success|success|success|success|success|success|success|success,2025-02-25T03:00:02Z|2025-02-26T03:00:01Z|2025-02-27T03:00:02Z|2025-02-28T03:00:02Z|2025-03-01T03:00:01Z|2025-03-02T03:00:02Z|2025-03-03T03:00:02Z|2025-03-04T03:00:02Z|2025-03-05T03:00:02Z|2025-03-06T13:34:54Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/5b35b2b4-fb38-4d83-ae06-066495670a3c/status
