bu,database,schema,tabela,fqn,om_url,snowflake_url,tem_descricao,tem_owner,testes_total,testes_falha,testes_sucesso,testes_sem_execucao
A REVISAR,RAW_SUNO_LEGADO,ASSET,INDICADOR_IMA_B_ANBIMA,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.INDICADOR_IMA_B_ANBIMA,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.INDICADOR_IMA_B_ANBIMA,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/INDICADOR_IMA_B_ANBIMA,Não,Sim,0,0,0,0
A REVISAR,DBT,ASSET,INT_LATEST_ASSET_HISTORY,Suno SnowFlake.DBT.ASSET.INT_LATEST_ASSET_HISTORY,http://2.24.76.116:8585/table/Suno%20SnowFlake.DBT.ASSET.INT_LATEST_ASSET_HISTORY,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/DBT/schemas/ASSET/view/INT_LATEST_ASSET_HISTORY,Não,Sim,0,0,0,0
A REVISAR,TRUSTED,ASSET,MERCADO_DEBENTURES_CONSOLIDADA,Suno SnowFlake.TRUSTED.ASSET.MERCADO_DEBENTURES_CONSOLIDADA,http://2.24.76.116:8585/table/Suno%20SnowFlake.TRUSTED.ASSET.MERCADO_DEBENTURES_CONSOLIDADA,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/TRUSTED/schemas/ASSET/dynamic-table/MERCADO_DEBENTURES_CONSOLIDADA,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,MERCADO_SECUNDARIO_DEBENTURES_ANBIMA,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.MERCADO_SECUNDARIO_DEBENTURES_ANBIMA,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.MERCADO_SECUNDARIO_DEBENTURES_ANBIMA,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/MERCADO_SECUNDARIO_DEBENTURES_ANBIMA,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,PA_BACK_PERFORMIT,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.PA_BACK_PERFORMIT,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.PA_BACK_PERFORMIT,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/PA_BACK_PERFORMIT,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,PL_COTAS_PERFORMIT,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.PL_COTAS_PERFORMIT,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.PL_COTAS_PERFORMIT,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/PL_COTAS_PERFORMIT,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,PUS_CRI_OLIVEIRA,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.PUS_CRI_OLIVEIRA,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.PUS_CRI_OLIVEIRA,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/PUS_CRI_OLIVEIRA,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,PUS_CRI_SIMPLIFIC,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.PUS_CRI_SIMPLIFIC,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.PUS_CRI_SIMPLIFIC,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/PUS_CRI_SIMPLIFIC,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,PUS_CRI_VORTEX,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.PUS_CRI_VORTEX,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.PUS_CRI_VORTEX,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/PUS_CRI_VORTEX,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,SALDOS BTG,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.SALDOS BTG,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.SALDOS%20BTG,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/SALDOS BTG,Não,Não,0,0,0,0
